ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
714,0.0004315600862426393,0.7895929645714712,0.0968373229234416,0.06301681703343011,0.04858043263370456,0.0003044237666520941,5.928160047410182e-05,0.0011771960927834883,1.2917998097662772e-09
716,2.810253812449598e-07,0.006230418149142522,0.17243738637189596,0.22521526424620722,0.4756019830716415,0.040091743949569714,0.026786116103459302,0.05363524589741292,1.5611852885062891e-06
718,9.17291215719026e-13,1.3769366789140722e-06,0.0034893319546781816,0.0022603756690290702,0.22851049955373826,0.3900635540383425,0.24133727396042307,0.1203671118990509,0.01397047598714255
728,0.00018822085426874462,0.22568156715176724,0.22211229058511645,0.43951130104150576,0.11154960953575592,0.00047553506532064426,9.548471790623149e-05,0.00038599080932600336,2.390335881386545e-10
732,9.067200871884513e-12,9.536946225204015e-06,0.0005893350841735136,0.0015669844837458693,0.06961584349490874,0.00022944042913061025,0.03827079710304571,0.8866821599658217,0.003035902483881608
734,7.341468457076244e-19,9.156996944071644e-11,1.4299704965761279e-06,2.318433537044525e-06,0.009234266435861923,0.004859072494462136,0.5330866706331385,0.13710814262740634,0.31570809931352295
741,0.08476747042497917,0.43377377198991823,0.419169990172386,0.03763866122559026,0.024534819321778492,6.881920329436418e-05,1.0642798850055993e-05,3.58248624115711e-05,7.919617700212518e-13
754,3.866823318394369e-21,3.4759939493525714e-11,6.718079782637169e-08,8.666713163280211e-07,0.0004125037436045442,0.000372810249341827,0.04975187374748623,0.7292014215700284,0.22026045680265555
764,7.37168067130671e-08,0.021791487110632612,0.5418284468038538,0.17798601182424,0.2316962034666158,0.010066573234564927,0.009305363887363801,0.0073257311650397365,1.0879088332986497e-07
765,2.297174967124909e-07,0.008247889641443448,0.3966151413528473,0.20662179730848904,0.2909093630958585,0.004888790862359834,0.0138410961702275,0.0788591167076062,1.6575143672043866e-05
766,0.08180297599282131,0.7703283581452849,0.055780106874847114,0.08484437267198551,0.007237544863882091,6.000852946179664e-06,4.5196503815636296e-07,1.8863314632557338e-07,4.91422307561903e-14
769,1.1426338167980486e-05,0.023660689575534313,0.4612056944994329,0.262466307795507,0.23497082031483277,0.00485514740566174,0.006999766705684392,0.005830045945414308,1.0141976443661029e-07
770,1.0451915669012155e-16,6.345946405469115e-10,0.00047769997296665895,1.0031730207380025e-05,0.0018841597812976954,0.7150632016787055,0.2724489845009529,0.0011685773196051955,0.008947344381669373
771,5.8343626980616175e-12,2.7163271431411877e-06,0.005446567327661542,0.0088535265853253,0.0378892861617463,0.5209476665139837,0.36971907228359935,0.04806755733313774,0.009073607461566737
778,1.1539061320601528e-05,0.27244004301133296,0.5108036224025829,0.13595287313093185,0.0801342283009142,0.0004026039006117777,8.384711235335133e-05,0.00017124300988519906,7.006789942656344e-11
787,2.761869695205629e-06,0.005605581978905633,0.34329166587501614,0.03733165392155853,0.41419352440553575,0.02598379063245329,0.16211930619289286,0.011469796366696853,1.918757246323982e-06
795,1.558935857274512e-19,1.0365676708522287e-09,5.801113508824683e-06,9.676799393789941e-06,0.005731389510906373,0.16088572272161925,0.4570756787233254,0.027856489621066054,0.3484352404736128
809,2.5791972505806875e-06,0.022402747827478146,0.7369253453517001,0.04468418343131645,0.1719447953568463,0.005780913003940757,0.010464050631256544,0.007794969452495163,4.1574771616082776e-07
815,3.4672392126791826e-08,0.0008786331845482484,0.0018758325088870183,0.14503380087509155,0.583223197517491,0.004789889418202157,0.08799628909320008,0.17604855990444132,0.00015376282574457596
818,5.054623239832882e-08,0.002946856658035349,0.8805257901590833,0.016206330009353016,0.0770860549327897,0.017746975235989674,0.005139793169737035,0.00034808261253656866,6.667624384221824e-08
819,6.773843811246022e-09,0.00021668954340336,0.018185590972626002,0.0044788001155387286,0.42534257486029886,0.028674282804019555,0.27791620533317213,0.20896820727075677,0.03621764232634159
825,2.0147863232500137e-11,2.8238543825786534e-05,0.08489951913097976,0.17704167966968282,0.25379414591895766,0.17708682946488233,0.2582904937325488,0.0487197352302924,0.00013935828868328777
828,0.011248474876310524,0.08491509617898689,0.5883673428339792,0.25542484787288594,0.05920033369147472,0.0005969038186563666,2.039396146127627e-05,0.0002266067631556398,3.0989113792644583e-12
847,0.00020191082409078953,0.7330638537946303,0.1302850472639933,0.0812644524344949,0.054774278712938794,0.00017458871691206884,4.2932782826471914e-05,0.00019293542746497955,4.2648500669830384e-11
859,3.368070925268789e-05,0.056921809136416625,0.36209528048980594,0.5096393862195631,0.06924739547865663,0.001022531129748843,0.00015405534354375348,0.0008858608930079133,6.000050873567985e-10
860,0.019650394687608496,0.5784552066751114,0.019711298562068536,0.20353755366382362,0.17792636253337568,3.0072229035786026e-05,1.1370319844230834e-05,0.0006777412944597424,3.467583429667534e-11
